smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C3(C)OC3C(O)C12O,-0.841,-0.454,-1.618,0.0,0.959,0.964,0.67,0.991,-6.248,0.0002796057378873229,0.401,17.56048011779785%,0.3,64.7905502319336%,0.002,0.48,0.006,0.319,0.001,0.076,0.002,0.118,0.009,0.022,1.374,0.344,0.03,0.187,0.856,0.452,0.491,0.016,0.016,0.851,0.003,0.006,0.906,0.395,2.034,1.876,4.429,0.011,0.132,0.006,0.006,0.081,0.022,0.004,0.027,0.636,0.005,0.026,0.067,420.13,368.572,1.14,12,6,187.9,5,4,10,12,0,19,0.263,11,2,1,2,0,5,7,2,6,0.192,5.192,0.824,78.581,3.011,1,0,0,0,Rejected,Accepted,Rejected,Accepted
COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1C(O)CC2(C)O,-0.309,-0.201,-1.6,0.0,0.52,0.968,0.447,0.994,-5.927,0.00023754806898068637,0.576,19.921653747558594%,0.275,55.713253021240234%,0.003,0.095,0.007,0.468,0.001,0.075,0.002,0.093,0.009,0.043,1.551,0.545,0.02,0.27,0.857,0.083,0.762,0.08,0.015,0.908,0.003,0.007,0.214,0.353,1.555,1.616,4.18,0.01,0.122,0.007,0.004,0.075,0.026,0.004,0.03,0.557,0.005,0.164,0.016,406.15,368.338,1.103,11,6,175.37,5,3,9,11,0,17,0.294,10,1,0,0,0,2,5,1,1,0.262,4.855,0.824,62.323,2.679,1,0,0,0,Rejected,Accepted,Rejected,Accepted
CC=C(C=O)c1ccccc1,-2.47,2.599,2.376,0.0,0.036,0.009,0.004,0.002,-4.342,2.219123052782379e-05,0.569,83.08552551269531%,1.333,11.751439094543457%,0.978,0.585,0.566,0.366,0.146,0.567,0.012,0.461,0.023,0.236,5.069,0.814,0.06,0.28,0.185,0.706,0.066,0.223,0.668,0.532,0.49,0.971,0.904,0.571,3.434,3.909,4.11,0.006,0.007,0.013,0.026,0.613,0.016,0.014,0.068,0.05,0.021,0.657,0.374,146.07,168.568,0.867,1,0,17.07,2,1,6,1,0,8,0.25,0,0,0,1,0,2,1,2,1,0.462,2.28,0.1,5.0,0.794,2,1,0,0,Accepted,Accepted,Accepted,Rejected
CC(C)C=C(C=O)c1ccccc1,-4.182,3.83,3.673,0.0,0.034,0.006,0.007,0.034,-4.36,2.207722900493536e-05,0.432,90.12772369384766%,1.097,5.390231609344482%,0.967,0.464,0.753,0.624,0.618,0.838,0.013,0.246,0.051,0.266,4.232,0.677,0.044,0.571,0.252,0.246,0.033,0.155,0.812,0.635,0.52,0.982,0.871,0.782,3.686,4.109,4.319,0.004,0.003,0.008,0.016,0.759,0.164,0.005,0.062,0.032,0.03,0.729,0.053,174.1,203.16,0.857,1,0,17.07,3,1,6,1,0,8,0.375,0,0,0,1,0,2,1,2,1,0.508,2.44,0.25,6.0,0.444,2,1,0,0,Accepted,Rejected,Accepted,Rejected
CC(C)CC=C(C=O)c1ccccc1,-4.574,4.185,3.927,0.001,0.576,0.007,0.007,0.012,-4.34,2.2974501916905865e-05,0.359,92.46117401123047%,1.279,4.3169846534729%,0.967,0.242,0.904,0.326,0.785,0.82,0.01,0.138,0.037,0.207,4.131,0.583,0.066,0.357,0.173,0.144,0.036,0.379,0.925,0.541,0.406,0.972,0.856,0.989,3.832,4.214,4.48,0.005,0.004,0.009,0.011,0.76,0.078,0.006,0.066,0.016,0.069,0.799,0.112,188.12,220.456,0.853,1,0,17.07,4,1,6,1,0,8,0.5,0,0,0,1,0,2,1,2,1,0.523,2.478,0.308,6.0,0.664,2,1,0,0,Accepted,Rejected,Accepted,Rejected
Cc1cnccn1,0.998,0.394,0.345,0.0,0.003,0.004,0.008,0.01,-4.199,3.192187432432547e-05,0.672,18.852628707885742%,1.406,81.59069061279297%,0.17,0.78,0.075,0.703,0.011,0.271,0.011,0.566,0.039,0.29,7.611,0.62,0.018,0.578,0.764,0.024,0.561,0.044,0.946,0.193,0.969,0.994,0.943,0.163,1.649,2.424,1.625,0.132,0.002,0.017,0.023,0.053,0.005,0.002,0.016,0.029,0.439,0.005,0.005,94.05,100.564,0.935,2,0,25.78,0,1,6,2,0,6,0.0,0,0,0,0,0,0,0,0,0,0.475,2.13,0.2,4.0,-1.545,0,0,0,0,Accepted,Accepted,Accepted,Rejected
CC(=O)c1cnccn1,0.373,0.029,0.004,0.0,0.001,0.005,0.003,0.002,-4.214,3.306272265035659e-05,0.685,19.817096710205078%,1.348,81.83908081054688%,0.717,0.829,0.096,0.339,0.012,0.409,0.007,0.446,0.023,0.238,5.738,0.593,0.017,0.181,0.964,0.025,0.529,0.075,0.93,0.19,0.645,0.994,0.719,0.288,1.89,2.632,2.306,0.04,0.002,0.006,0.021,0.047,0.005,0.003,0.022,0.031,0.301,0.006,0.01,122.05,124.014,0.984,3,0,42.85,1,1,6,3,0,7,0.143,0,0,0,0,0,1,0,0,0,0.514,2.238,0.167,5.0,-1.355,0,1,0,0,Accepted,Accepted,Accepted,Rejected
Cc1nccnc1-c1ccco1,-1.161,1.117,1.247,0.0,0.002,0.004,0.043,0.013,-4.364,3.762538472074084e-05,0.834,67.09327697753906%,2.796,46.2617073059082%,0.833,0.526,0.148,0.547,0.02,0.518,0.012,0.633,0.021,0.262,7.817,0.444,0.022,0.66,0.92,0.257,0.924,0.128,0.25,0.375,0.083,0.975,0.974,0.611,2.42,2.714,3.723,0.105,0.005,0.065,0.447,0.138,0.006,0.008,0.149,0.734,0.506,0.02,0.137,160.06,164.709,0.972,3,0,38.92,1,2,6,3,0,11,0.091,0,0,0,0,0,0,0,1,0,0.64,2.326,0.111,9.0,-1.185,0,0,0,0,Accepted,Accepted,Accepted,Rejected
Cc1nccnc1C,0.847,0.764,0.715,0.0,0.003,0.004,0.004,0.009,-4.348,3.443428795435466e-05,0.766,24.415634155273438%,1.621,77.81888580322266%,0.101,0.492,0.028,0.69,0.003,0.506,0.006,0.776,0.009,0.218,4.487,0.371,0.011,0.527,0.836,0.087,0.309,0.031,0.9,0.334,0.958,0.995,0.784,0.228,2.083,2.386,2.034,0.761,0.003,0.015,0.022,0.044,0.013,0.003,0.016,0.009,0.15,0.008,0.004,108.07,117.86,0.917,2,0,25.78,0,1,6,2,0,6,0.0,0,0,0,0,0,0,0,0,0,0.497,2.271,0.333,5.0,-0.425,0,0,0,0,Accepted,Accepted,Accepted,Rejected
Cc1cnc(C)cn1,0.913,0.731,0.579,0.0,0.004,0.003,0.004,0.005,-4.477,3.026687045348808e-05,0.719,40.2985725402832%,1.702,68.14584350585938%,0.301,0.747,0.026,0.72,0.003,0.441,0.006,0.822,0.008,0.265,7.66,0.383,0.011,0.549,0.306,0.025,0.166,0.036,0.832,0.631,0.938,0.991,0.732,0.246,2.012,2.41,2.177,0.14,0.002,0.017,0.006,0.075,0.005,0.002,0.013,0.017,0.03,0.003,0.004,108.07,117.86,0.917,2,0,25.78,0,1,6,2,0,6,0.0,0,0,0,0,0,0,0,0,0,0.497,2.073,0.333,5.0,-0.948,0,0,0,0,Accepted,Accepted,Accepted,Rejected
Cc1cncc(C)n1,0.785,0.687,0.593,0.0,0.006,0.003,0.004,0.004,-4.486,2.5421823011129163e-05,0.604,42.56034851074219%,1.22,66.03378295898438%,0.493,0.799,0.05,0.762,0.008,0.209,0.011,0.678,0.091,0.435,9.329,0.603,0.026,0.492,0.38,0.007,0.788,0.033,0.93,0.343,0.924,0.982,0.977,0.21,1.95,2.455,2.72,0.031,0.002,0.023,0.007,0.073,0.004,0.002,0.012,0.02,0.018,0.003,0.004,108.07,117.86,0.917,2,0,25.78,0,1,6,2,0,6,0.0,0,0,0,0,0,0,0,0,0,0.497,2.354,0.333,5.0,-0.842,0,0,0,0,Accepted,Accepted,Accepted,Rejected
Cc1cnc(C)c(C)n1,0.191,1.006,0.964,0.0,0.007,0.006,0.003,0.005,-4.632,2.7671871066559106e-05,0.967,49.11490249633789%,1.488,59.49790573120117%,0.408,0.86,0.022,0.681,0.002,0.238,0.023,0.809,0.009,0.438,7.265,0.346,0.016,0.357,0.276,0.022,0.615,0.023,0.624,0.788,0.908,0.988,0.906,0.411,2.348,2.55,2.984,0.273,0.002,0.029,0.006,0.07,0.008,0.003,0.014,0.011,0.021,0.004,0.004,122.08,135.156,0.903,2,0,25.78,0,1,6,2,0,6,0.0,0,0,0,0,0,0,0,0,0,0.519,2.23,0.429,6.0,-1.059,0,0,0,0,Accepted,Accepted,Accepted,Rejected
CCc1cnc(C)c(C)n1,-0.267,1.505,1.553,0.001,0.005,0.006,0.004,0.013,-4.576,2.9916098355897702e-05,0.979,47.39728927612305%,1.613,57.67847442626953%,0.711,0.909,0.026,0.62,0.004,0.3,0.038,0.768,0.016,0.4,7.102,0.372,0.019,0.173,0.312,0.009,0.298,0.041,0.382,0.595,0.415,0.98,0.821,0.635,2.423,2.663,3.078,0.554,0.003,0.025,0.011,0.057,0.018,0.003,0.014,0.01,0.048,0.007,0.006,136.1,152.452,0.893,2,0,25.78,1,1,6,2,0,6,0.167,0,0,0,0,0,0,0,0,0,0.586,2.419,0.5,6.0,-0.741,0,0,0,0,Accepted,Accepted,Accepted,Rejected
CCc1nc(C)cnc1C,-0.272,1.383,1.529,0.001,0.005,0.006,0.004,0.007,-4.581,3.019099858647678e-05,0.972,47.84963607788086%,1.433,53.633583068847656%,0.607,0.933,0.027,0.801,0.004,0.222,0.075,0.728,0.018,0.443,7.572,0.468,0.022,0.262,0.207,0.011,0.56,0.096,0.547,0.537,0.35,0.972,0.947,0.503,2.284,2.582,3.14,0.536,0.002,0.017,0.007,0.072,0.014,0.003,0.013,0.007,0.028,0.004,0.004,136.1,152.452,0.893,2,0,25.78,1,1,6,2,0,6,0.167,0,0,0,0,0,0,0,0,0,0.586,2.417,0.5,6.0,-0.969,0,0,0,0,Accepted,Accepted,Accepted,Rejected
c1coc(-c2cnccn2)c1,-1.302,1.137,0.943,0.0,0.003,0.005,0.447,0.139,-4.176,3.334540451760404e-05,0.95,65.81522369384766%,2.848,49.144718170166016%,0.914,0.561,0.257,0.239,0.025,0.291,0.047,0.338,0.126,0.255,10.592,0.707,0.027,0.254,0.956,0.052,0.922,0.137,0.882,0.209,0.256,0.981,0.979,0.713,2.321,2.925,3.532,0.123,0.003,0.08,0.58,0.158,0.007,0.005,0.335,0.91,0.762,0.019,0.032,146.05,147.413,0.991,3,0,38.92,1,2,6,3,0,11,0.091,0,0,0,0,0,0,0,1,0,0.615,2.197,0.0,8.0,-1.967,0,0,0,0,Accepted,Accepted,Accepted,Rejected
CCc1nccnc1C,0.528,1.052,1.219,0.0,0.003,0.004,0.006,0.028,-4.32,3.324899807921611e-05,0.834,27.98527717590332%,1.591,71.49964141845703%,0.2,0.666,0.04,0.8,0.006,0.511,0.009,0.668,0.016,0.304,5.075,0.494,0.014,0.364,0.769,0.039,0.479,0.175,0.864,0.208,0.744,0.991,0.848,0.295,2.028,2.373,2.434,0.789,0.003,0.009,0.033,0.05,0.021,0.005,0.017,0.007,0.087,0.008,0.005,122.08,135.156,0.903,2,0,25.78,1,1,6,2,0,6,0.167,0,0,0,0,0,0,0,0,0,0.562,2.395,0.429,5.0,-0.474,0,0,0,0,Accepted,Accepted,Accepted,Rejected
CCc1cnc(C)cn1,0.688,1.13,1.113,0.0,0.004,0.004,0.005,0.017,-4.433,2.9585627999040298e-05,0.846,40.195289611816406%,1.815,60.56039810180664%,0.559,0.796,0.032,0.732,0.005,0.551,0.007,0.765,0.01,0.276,8.399,0.408,0.014,0.283,0.388,0.008,0.139,0.101,0.766,0.384,0.614,0.985,0.635,0.383,2.037,2.486,2.447,0.471,0.002,0.014,0.012,0.069,0.012,0.003,0.014,0.024,0.061,0.004,0.005,122.08,135.156,0.903,2,0,25.78,1,1,6,2,0,6,0.167,0,0,0,0,0,0,0,0,0,0.562,2.265,0.429,5.0,-1.109,0,0,0,0,Accepted,Accepted,Accepted,Rejected
CCc1cncc(C)n1,0.526,1.103,1.11,0.0,0.004,0.003,0.004,0.012,-4.477,3.0131124731269665e-05,0.687,37.174625396728516%,1.435,65.05538177490234%,0.723,0.776,0.077,0.694,0.021,0.25,0.017,0.523,0.15,0.399,10.584,0.679,0.03,0.158,0.311,0.005,0.6,0.091,0.921,0.284,0.437,0.96,0.954,0.388,2.004,2.537,2.937,0.133,0.002,0.018,0.012,0.062,0.006,0.002,0.014,0.017,0.072,0.004,0.005,122.08,135.156,0.903,2,0,25.78,1,1,6,2,0,6,0.167,0,0,0,0,0,0,0,0,0,0.562,2.397,0.429,5.0,-1.337,0,0,0,0,Accepted,Accepted,Accepted,Rejected
CCc1ncc(C)nc1C,-0.331,1.456,1.489,0.001,0.005,0.006,0.003,0.009,-4.602,2.8938775358255953e-05,0.976,47.07048797607422%,1.485,55.077152252197266%,0.631,0.938,0.026,0.749,0.004,0.195,0.098,0.711,0.018,0.445,7.833,0.456,0.022,0.269,0.247,0.013,0.671,0.078,0.532,0.64,0.298,0.973,0.941,0.478,2.279,2.591,3.113,0.482,0.002,0.017,0.006,0.082,0.013,0.003,0.013,0.008,0.028,0.003,0.003,136.1,152.452,0.893,2,0,25.78,1,1,6,2,0,6,0.167,0,0,0,0,0,0,0,0,0,0.586,2.392,0.5,6.0,-1.246,0,0,0,0,Accepted,Accepted,Accepted,Rejected
c1cnc2c(n1)CCC2,-0.127,0.875,0.896,0.0,0.001,0.005,0.143,0.08,-4.524,2.928789399447851e-05,0.837,28.83222007751465%,1.924,71.42343139648438%,0.31,0.755,0.041,0.455,0.01,0.781,0.011,0.817,0.012,0.292,4.46,0.655,0.014,0.409,0.459,0.047,0.472,0.918,0.894,0.182,0.047,0.977,0.8,0.266,1.943,2.389,3.327,0.594,0.003,0.02,0.206,0.063,0.008,0.8,0.043,0.162,0.22,0.01,0.013,120.07,126.6,0.948,2,0,25.78,0,2,9,2,0,10,0.0,0,0,0,0,0,0,0,0,0,0.509,2.54,0.429,20.8,-0.465,0,0,0,0,Accepted,Accepted,Accepted,Rejected
CC(C)=CC=Cc1c(Cl)c(O)c2c(O)c3ccccc3c(O)c2c1O,-3.971,3.075,5.996,0.022,0.004,0.031,0.033,0.719,-5.072,1.4559213013853878e-05,0.007,99.94931030273438%,0.82,3.7104454040527344%,0.9,0.802,0.252,0.199,0.71,0.843,0.41,0.826,0.056,0.116,2.757,0.386,0.004,0.276,0.964,0.639,0.39,0.928,0.963,0.619,0.004,0.924,0.538,1.374,4.537,5.371,6.207,0.003,0.584,0.976,0.474,0.511,0.547,0.713,0.956,0.807,0.858,0.975,0.99,356.08,355.451,1.002,4,4,80.92,2,3,14,5,0,18,0.111,0,2,2,2,0,7,1,4,4,0.279,3.061,0.1,20.0,0.965,1,0,0,0,Accepted,Accepted,Rejected,Accepted
c1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,-5.868,2.918,3.066,0.985,0.0,0.001,0.002,0.002,-5.033,6.124360515968874e-05,0.173,97.52723693847656%,1.163,2.7944552898406982%,0.52,0.284,0.95,0.382,0.677,0.858,0.952,0.915,0.963,0.521,17.15,0.062,0.148,0.181,0.41,0.713,0.194,0.508,0.27,0.894,0.003,0.153,0.188,3.089,4.866,5.912,6.515,0.081,0.257,0.94,0.337,0.406,0.36,0.0,0.49,0.751,0.491,0.58,0.873,354.11,340.06,1.041,6,0,55.38,2,6,9,6,0,29,0.069,4,1,0,0,0,1,1,1,0,0.825,3.774,0.4,100.0,0.747,0,0,0,0,Accepted,Rejected,Accepted,Accepted
c1cc2c(cc1OC1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,-5.075,2.874,2.799,0.891,0.001,0.001,0.001,0.001,-5.081,6.937213765922934e-05,0.134,98.43022155761719%,0.847,2.4587650299072266%,0.648,0.24,0.958,0.447,0.5,0.875,0.982,0.926,0.97,0.344,16.639,0.084,0.165,0.096,0.728,0.885,0.049,0.326,0.375,0.934,0.003,0.252,0.284,3.018,4.798,6.105,6.579,0.059,0.327,0.951,0.279,0.397,0.365,0.0,0.537,0.757,0.504,0.631,0.877,370.11,348.85,1.061,7,0,64.61,3,6,9,7,0,29,0.103,4,1,0,0,0,2,1,1,0,0.823,3.842,0.4,100.0,1.164,0,0,0,0,Accepted,Accepted,Accepted,Accepted
OC1OCC2C(c3ccc4c(c3)OCO4)OCC12,-2.672,1.366,0.661,0.004,0.026,0.002,0.002,0.003,-4.901,2.7258236514171585e-05,0.569,73.29306030273438%,1.521,31.4615478515625%,0.069,0.772,0.047,0.809,0.021,0.212,0.103,0.629,0.588,0.36,9.038,0.239,0.055,0.167,0.121,0.623,0.13,0.103,0.466,0.89,0.003,0.074,0.09,1.743,3.679,4.275,5.449,0.055,0.31,0.815,0.071,0.206,0.124,0.001,0.082,0.37,0.056,0.089,0.822,250.08,235.22,1.063,5,1,57.15,1,4,9,5,0,19,0.053,4,1,0,0,0,2,3,1,0,0.808,3.884,0.538,70.3,1.52,0,0,0,0,Accepted,Accepted,Accepted,Accepted
COc1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,-5.716,2.968,2.817,0.899,0.001,0.001,0.002,0.002,-5.067,7.447192911058664e-05,0.104,97.20514678955078%,1.068,2.2686586380004883%,0.334,0.824,0.952,0.811,0.563,0.878,0.9,0.915,0.959,0.723,14.936,0.074,0.152,0.179,0.692,0.608,0.132,0.681,0.298,0.917,0.003,0.096,0.461,2.992,4.829,5.989,6.78,0.124,0.256,0.951,0.386,0.322,0.461,0.0,0.503,0.844,0.447,0.678,0.952,384.12,366.146,1.049,7,0,64.61,3,6,9,7,0,29,0.103,4,1,0,0,0,1,1,1,0,0.805,3.854,0.429,102.467,0.972,0,0,0,0,Accepted,Accepted,Accepted,Accepted
